"RUN", "T1", "T2", "T4", "T8", "T16", "T32", "T64"
 1, 19321723165, 9650201995, 4844088163, 2422130451, 1211562610, 608453134, 307879919
 2, 19321299556, 9654947822, 4842351420, 2423726078, 1211654723, 608431745, 307570685
 3, 19334196909, 9656472154, 4844281771, 2422538675, 1211192004, 608126198, 307384153
 4, 19330230724, 9637133817, 4845098748, 2422761028, 1211596518, 609307017, 307428566
 5, 19331459273, 9660668612, 4842827480, 2423997095, 1212430065, 608590471, 308294748
 6, 19330911858, 9655788054, 4844926059, 2423187003, 1211981288, 607938225, 307578773
 7, 19327229629, 9656817993, 4846308745, 2422418296, 1211181740, 608647463, 307393886
 8, 19326960167, 9652177841, 4844172387, 2423220079, 1212020057, 607925906, 308298477
 9, 19331976819, 9646905638, 4841679137, 2423206939, 1212176128, 608376547, 307103705
10, 19301719180, 9644669631, 4843546321, 2422758863, 1213026694, 609066822, 307056597
11, 19307707938, 9669480765, 4847208092, 2422820667, 1211336588, 609514086, 307155866
12, 19320495478, 9649594652, 4845873960, 2422993485, 1212532131, 608894694, 307774435
13, 19336281477, 9653559694, 4845944272, 2421889324, 1212706143, 608432266, 308173789
14, 19333069013, 9654811005, 4845701351, 2423279847, 1212248043, 608517232, 307406595
15, 19331181251, 9653551786, 4846267770, 2422796570, 1212062144, 608883067, 307378530
16, 19313594922, 9654906878, 4845013863, 2422435065, 1212210316, 607856886, 307419395
17, 19334489105, 9651616333, 4846691349, 2422290110, 1213377033, 608630925, 307605646
18, 19333693455, 9649180084, 4845137889, 2424700029, 1212434796, 608535855, 307263153
19, 19301438491, 9647268085, 4846437622, 2423353929, 1212348295, 608821335, 307705907
20, 19323993792, 9645160284, 4846227527, 2423073290, 1211009191, 608012245, 307564641
21, 19340773707, 9654960340, 4843478194, 2419968425, 1211875002, 608671188, 307354856
22, 19331236589, 9659787806, 4846738588, 2423147361, 1211305276, 609523557, 307007634
23, 19309229405, 9649470815, 4844364421, 2423320130, 1212328449, 608921166, 310891138
24, 19330124850, 9655211451, 4843501507, 2422746525, 1212305717, 608091739, 307475605
25, 19336543352, 9657795552, 4843153644, 2422689323, 1210322915, 608752706, 308175853
26, 19331976158, 9642983225, 4846659535, 2424490114, 1211905192, 608338689, 307609855
27, 19335215603, 9654199994, 4843482123, 2422006896, 1210911295, 608740889, 307634913
28, 19314622998, 9645317669, 4845871605, 2423391244, 1212187935, 608676079, 307982917
29, 19322143947, 9651339424, 4847878923, 2422445489, 1211795208, 608969648, 307782654
30, 19333752823, 9653676033, 4845342913, 2422061683, 1212359432, 611704156, 307541206
31, 19329848741, 9652320380, 4847779904, 2422492227, 1211628683, 608608853, 307902190
